"","species","total_area"
"1","Agapostemon sericeus",11680770531733.7
"2","Agapostemon splendens",14087278192765.2
"3","Agapostemon texanus",18357569401179.9
"4","Agapostemon virescens",19353479959339.5
"5","Amegilla albigena",17679010121552.3
"6","Amegilla quadrifasciata",52107416786101.9
"7","Andrena abrupta",84076000007.7179
"8","Andrena aegyptiaca",1135568894329.01
"9","Andrena aeneiventris",5363483009358.35
"10","Andrena aerinifrons",498055432936.936
"11","Andrena afrensis",254103516231.548
"12","Andrena afzeliella",4434979651657.38
"13","Andrena agilissima",6131181842296.11
"14","Andrena albopunctata",10914137584628.4
"15","Andrena alfkenella",6231729889754.37
"16","Andrena algida",28237271634156.1
"17","Andrena aliciae",5515285157059
"18","Andrena alleghaniensis",5899877420476.3
"19","Andrena alluaudi",47210555495.8093
"20","Andrena ampla",1932096436834.63
"21","Andrena andrenoides",8378035336668.34
"22","Andrena angustior",4789578214491.95
"23","Andrena anthrisci",1245426786651.57
"24","Andrena antigana",591653216066.456
"25","Andrena apicata",6819081813498.72
"26","Andrena arabis",5331187564309.13
"27","Andrena argentata",8018262195236.68
"28","Andrena asperrima",951792586800.968
"29","Andrena assimilis",988547999094.456
"30","Andrena barbilabris",66923846771721.2
"31","Andrena bellidis",76259360871.7347
"32","Andrena bicolor",31726741303691.3
"33","Andrena bicolorata",1222817061049.24
"34","Andrena bimaculata",13426168564484.2
"35","Andrena bisalicis",5516233921261.06
"36","Andrena biskrensis",39166754361.9812
"37","Andrena blanda",134162477610.97
"38","Andrena boyerella",27646474936.5542
"39","Andrena bradleyi",4514316028851.8
"40","Andrena brevipalpis",6255060225643.06
"41","Andrena bucephala",1746025034069.02
"42","Andrena canadensis",9859209983050.21
"43","Andrena carlini",12266152595799.4
"44","Andrena carolina",3519982055483.66
"45","Andrena ceanothi",4800474124522.62
"46","Andrena chromotricha",5812664487213.98
"47","Andrena chrysosceles",11574793439335.2
"48","Andrena cineraria",39807613942862.6
"49","Andrena cinerea",3815342364593.45
"50","Andrena clarkella",75854003954088.4
"51","Andrena coitana",10334396187538.6
"52","Andrena colletiformis",3077373179160.25
"53","Andrena combaella",1224424418978.51
"54","Andrena combinata",3729899940619.85
"55","Andrena commoda",10953779542543.8
"56","Andrena compta",12903905612.2326
"57","Andrena congruens",2042948199339.22
"58","Andrena crataegi",16358767572409.7
"59","Andrena cressonii",13621701285586.5
"60","Andrena decipiens",2537316941625.94
"61","Andrena denticulata",39606382374651.6
"62","Andrena distans",4299083899197.13
"63","Andrena djelfensis",188179962156.662
"64","Andrena dorsata",13787807360761.5
"65","Andrena dunningi",7667065394413.95
"66","Andrena elata",1340331153.97415
"67","Andrena erigeniae",6026169930415.04
"68","Andrena erythrogaster",11716883432471.7
"69","Andrena fabrella",658347790936.538
"70","Andrena falsifica",6613787295689.04
"71","Andrena farinosa",33909328716.3457
"72","Andrena ferrugineicrus",593853542361.144
"73","Andrena flavipes",28318808488055.5
"74","Andrena florea",5016610857937.41
"75","Andrena florentina",563289720904.057
"76","Andrena forbesii",15200710920391.5
"77","Andrena fragilis",7545397093211.56
"78","Andrena frigida",29816302812069.9
"79","Andrena fucata",39942303964544.8
"80","Andrena fulica",221061215932.629
"81","Andrena fulva",7925040387318.83
