bee_species,bee_genus,bee_family,range_size_m2,pollen_genera_count,pollen_families_count,diet_binary_genus,diet_binary_family,no_records_in_Dorey,bee_family_n,bee_species_original_wood
Bombus brodmannicus,Bombus,Apidae,146397735.3,12,8,generalist,generalist,9,Apidae (n = 83),Bombus brodmannicus
Andrena funerea,Andrena,Andrenidae,194336403,3,1,generalist,specialist,32,Andrenidae (n = 168),Andrena funerea
Andrena elata,Andrena,Andrenidae,1340331154,1,1,genus specialist,specialist,13,Andrenidae (n = 168),Andrena elata
Andrena omnilaevis,Andrena,Andrenidae,1563745237,1,1,genus specialist,specialist,6,Andrenidae (n = 168),Andrena omnilaevis
Eucera decolorata,Eucera,Apidae,2487597454,12,6,generalist,generalist,4,Apidae (n = 83),Eucera decolorata
Andrena melittoides,Andrena,Andrenidae,2819777068,11,8,generalist,generalist,4,Andrenidae (n = 168),Andrena melittoides
Lasioglossum virens,Lasioglossum,Halictidae,5890385747,5,4,generalist,generalist,8,Halictidae (n = 72),Lasioglossum virens
Andrena minapalumboi,Andrena,Andrenidae,7261709692,2,1,generalist,specialist,3,Andrenidae (n = 168),Andrena minapalumboi
Flavipanurgus kastiliensis,Flavipanurgus,Andrenidae,9591870155,1,1,genus specialist,specialist,7,Andrenidae (n = 168),Flavipanurgus kastiliensis
Lasioglossum mandibulare,Lasioglossum,Halictidae,17173478515,5,4,generalist,generalist,34,Halictidae (n = 72),Lasioglossum mandibulare
Camptopoeum sacrum,Camptopoeum,Andrenidae,22963336116,1,1,genus specialist,specialist,4,Andrenidae (n = 168),Camptopoeum sacrum
Andrena boyerella,Andrena,Andrenidae,27646474937,2,1,generalist,specialist,7,Andrenidae (n = 168),Andrena boyerella
Andrena farinosa,Andrena,Andrenidae,33909328716,2,1,generalist,specialist,6,Andrenidae (n = 168),Andrena farinosa
Andrena biskrensis,Andrena,Andrenidae,39166754362,6,5,generalist,generalist,23,Andrenidae (n = 168),Andrena biskrensis
Andrena pauxilla,Andrena,Andrenidae,51290361721,4,2,generalist,generalist,7,Andrenidae (n = 168),Andrena pauxilla
Clavipanurgus punctiventris,Clavipanurgus,Andrenidae,63370660081,3,1,generalist,specialist,21,Andrenidae (n = 168),Clavipanurgus punctiventris
Eucera collaris,Eucera,Apidae,71697157198,9,6,generalist,generalist,27,Apidae (n = 83),Eucera collaris
Andrena rugothorace,Andrena,Andrenidae,77017029716,1,1,genus specialist,specialist,7,Andrenidae (n = 168),Andrena rugothorace
Colletes acutus,Colletes,Colletidae,77977129874,6,6,generalist,generalist,13,Colletidae (n = 10),Colletes acutus
Andrena oviventris,Andrena,Andrenidae,78680237431,4,4,generalist,generalist,35,Andrenidae (n = 168),Andrena oviventris
Andrena leptopyga,Andrena,Andrenidae,89706161650,5,4,generalist,generalist,4,Andrenidae (n = 168),Andrena leptopyga
Panurgus maroccanus,Panurgus,Andrenidae,94985061056,3,1,generalist,specialist,86,Andrenidae (n = 168),Panurgus maroccanus
Panurgus perezi,Panurgus,Andrenidae,101465017501,1,1,genus specialist,specialist,5,Andrenidae (n = 168),Panurgus perezi
Melitturga caudata,Melitturga,Andrenidae,132583201412,7,2,generalist,generalist,28,Andrenidae (n = 168),Melitturga caudata
Andrena blanda,Andrena,Andrenidae,134162477611,1,1,genus specialist,specialist,6,Andrenidae (n = 168),Andrena blanda
Clavipanurgus sculpturatus,Clavipanurgus,Andrenidae,145223344482,2,1,generalist,specialist,16,Andrenidae (n = 168),Clavipanurgus sculpturatus
Andrena numida,Andrena,Andrenidae,171416510929,4,2,generalist,generalist,16,Andrenidae (n = 168),Andrena numida
Andrena djelfensis,Andrena,Andrenidae,188179962157,4,2,generalist,generalist,9,Andrenidae (n = 168),Andrena djelfensis
Andrena fulica,Andrena,Andrenidae,221061215933,4,2,generalist,generalist,13,Andrenidae (n = 168),Andrena fulica
Bombus incertus,Bombus,Apidae,227697418537,25,13,generalist,generalist,8,Apidae (n = 83),Bombus incertus
Andrena afrensis,Andrena,Andrenidae,254103516232,11,6,generalist,generalist,102,Andrenidae (n = 168),Andrena afrensis
Andrena nigroviridula,Andrena,Andrenidae,254226589160,3,1,generalist,specialist,4,Andrenidae (n = 168),Andrena nigroviridula
Andrena rhyssonota,Andrena,Andrenidae,280503040134,1,1,genus specialist,specialist,40,Andrenidae (n = 168),Andrena rhyssonota
Panurgus cephalotes,Panurgus,Andrenidae,295058008016,5,1,generalist,specialist,9,Andrenidae (n = 168),Panurgus cephalotes
Andrena pandosa,Andrena,Andrenidae,306581153210,1,1,genus specialist,specialist,8,Andrenidae (n = 168),Andrena pandosa s. str.
Halictus crenicornis,Halictus,Halictidae,355990686610,15,12,generalist,generalist,13,Halictidae (n = 72),Halictus crenicornis
Eucera furfurea,Eucera,Apidae,359598016052,1,1,genus specialist,specialist,12,Apidae (n = 83),Eucera furfurea
Eucera eucnemidea,Eucera,Apidae,383060731321,7,2,generalist,generalist,10,Apidae (n = 83),Eucera eucnemidea
Andrena longibarbis,Andrena,Andrenidae,396923820409,4,2,generalist,generalist,37,Andrenidae (n = 168),Andrena longibarbis
Andrena tuberculifera,Andrena,Andrenidae,414772142205,9,5,generalist,generalist,22,Andrenidae (n = 168),Andrena tuberculifera
Anthophora femorata,Anthophora,Apidae,446884911728,1,1,genus specialist,specialist,34,Apidae (n = 83),Anthophora femorata
Bombus mendax,Bombus,Apidae,472250933254,13,8,generalist,generalist,1265,Apidae (n = 83),Bombus mendax
Andrena aerinifrons,Andrena,Andrenidae,498055432937,2,1,generalist,specialist,14,Andrenidae (n = 168),Andrena aerinifrons
Camptopoeum friesei,Camptopoeum,Andrenidae,500677212138,1,1,genus specialist,specialist,132,Andrenidae (n = 168),Camptopoeum friesei euzonus
Andrena isis,Andrena,Andrenidae,521864702286,2,1,generalist,specialist,14,Andrenidae (n = 168),Andrena isis
Panurgus canescens,Panurgus,Andrenidae,544561470020,2,1,generalist,specialist,13,Andrenidae (n = 168),Panurgus canescens
Andrena florentina,Andrena,Andrenidae,563289720904,1,1,genus specialist,specialist,6,Andrenidae (n = 168),Andrena florentina
Eucera elongatula,Eucera,Apidae,565863408847,21,11,generalist,generalist,24,Apidae (n = 83),Eucera elongatula
Lasioglossum bimaculatum,Lasioglossum,Halictidae,581742574182,6,5,generalist,generalist,23,Halictidae (n = 72),Lasioglossum bimaculatum
Andrena antigana,Andrena,Andrenidae,591653216066,4,1,generalist,specialist,32,Andrenidae (n = 168),Andrena antigana
Andrena ferrugineicrus,Andrena,Andrenidae,593853542361,4,1,generalist,specialist,47,Andrenidae (n = 168),Andrena ferrugineicrus
Eucera notata,Eucera,Apidae,651974936512,8,3,generalist,generalist,17,Apidae (n = 83),Eucera notata
Andrena fabrella,Andrena,Andrenidae,658347790937,2,1,generalist,specialist,72,Andrenidae (n = 168),Andrena fabrella
Andrena leucolippa,Andrena,Andrenidae,785393038986,1,1,genus specialist,specialist,160,Andrenidae (n = 168),Andrena leucolippa
Andrena vulpecula,Andrena,Andrenidae,838596676635,2,1,generalist,specialist,58,Andrenidae (n = 168),Andrena vulpecula
Andrena senecionis,Andrena,Andrenidae,855051855646,3,1,generalist,specialist,79,Andrenidae (n = 168),Andrena senecionis
Panurginus albopilosus,Panurginus,Andrenidae,923439272657,1,1,genus specialist,specialist,10,Andrenidae (n = 168),Panurginus albopilosus
Anthophora atriceps,Anthophora,Apidae,929604698429,6,4,generalist,generalist,58,Apidae (n = 83),Anthophora atriceps
Andrena asperrima,Andrena,Andrenidae,951792586801,10,4,generalist,generalist,35,Andrenidae (n = 168),Andrena asperrima
Eucera alternans,Eucera,Apidae,952265657939,12,8,generalist,generalist,6,Apidae (n = 83),Eucera alternans
Andrena nitidula,Andrena,Andrenidae,972215590290,3,1,generalist,specialist,42,Andrenidae (n = 168),Andrena nitidula
Lasioglossum mediterraneum,Lasioglossum,Halictidae,975965057501,18,16,generalist,generalist,23,Halictidae (n = 72),Lasioglossum mediterraneum
Andrena assimilis,Andrena,Andrenidae,988547999094,12,11,generalist,generalist,16,Andrenidae (n = 168),Andrena assimilis
Andrena orbitalis,Andrena,Andrenidae,1058600917920,1,1,genus specialist,specialist,108,Andrenidae (n = 168),Andrena orbitalis
Bombus mucidus,Bombus,Apidae,1112517792828,8,5,generalist,generalist,992,Apidae (n = 83),Bombus mucidus
Andrena aegyptiaca,Andrena,Andrenidae,1135568894329,1,1,genus specialist,specialist,40,Andrenidae (n = 168),Andrena aegyptiaca
Andrena tenuistriata,Andrena,Andrenidae,1147824240063,4,3,generalist,generalist,97,Andrenidae (n = 168),Andrena tenuistriata
Andrena rhenana,Andrena,Andrenidae,1149806664087,1,1,genus specialist,specialist,109,Andrenidae (n = 168),Andrena rhenana
Andrena mucida,Andrena,Andrenidae,1170629367373,4,4,generalist,generalist,28,Andrenidae (n = 168),Andrena mucida
Andrena ranunculorum,Andrena,Andrenidae,1171334537963,7,6,generalist,generalist,53,Andrenidae (n = 168),Andrena ranunculorum
Andrena spolata,Andrena,Andrenidae,1185387682675,2,1,generalist,specialist,31,Andrenidae (n = 168),Andrena spolata
Andrena bicolorata,Andrena,Andrenidae,1222817061049,2,1,generalist,specialist,42,Andrenidae (n = 168),Andrena bicolorata
Andrena anthrisci,Andrena,Andrenidae,1245426786652,12,10,generalist,generalist,48,Andrenidae (n = 168),Andrena anthrisci
Eucera caspica,Eucera,Apidae,1355751315026,7,3,generalist,generalist,30,Apidae (n = 83),Eucera caspica
