species_original,species_clean,plant_fam_count,plant_gen_count,bee_family,bee_genus
Agapostemon sericeus,Agapostemon sericeus,8,8,Halictidae,Agapostemon
Agapostemon virescens,Agapostemon virescens,5,8,Halictidae,Agapostemon
Amegilla albigena,Amegilla albigena,5,8,Apidae,Amegilla
Amegilla magnilabris,Amegilla magnilabris,5,6,Apidae,Amegilla
Amegilla talaris,Amegilla talaris,6,12,Apidae,Amegilla
Andrena acutidentis,Andrena acutidentis,3,4,Andrenidae,Andrena
Andrena aegyptiaca,Andrena aegyptiaca,1,1,Andrenidae,Andrena
Andrena aeneiventris,Andrena aeneiventris,1,1,Andrenidae,Andrena
Andrena aerinifrons,Andrena aerinifrons,1,2,Andrenidae,Andrena
Andrena afrensis,Andrena afrensis,6,11,Andrenidae,Andrena
Andrena afzeliella,Andrena afzeliella,9,16,Andrenidae,Andrena
Andrena agilissima,Andrena agilissima,3,6,Andrenidae,Andrena
Andrena albopunctata,Andrena albopunctata,9,10,Andrenidae,Andrena
Andrena alfkenella,Andrena alfkenella,7,21,Andrenidae,Andrena
Andrena algida,Andrena algida,3,3,Andrenidae,Andrena
Andrena alleghaniensis,Andrena alleghaniensis,11,17,Andrenidae,Andrena
Andrena ampla,Andrena ampla,1,3,Andrenidae,Andrena
Andrena andrenoides,Andrena andrenoides,1,1,Andrenidae,Andrena
Andrena angustior,Andrena angustior,14,23,Andrenidae,Andrena
Andrena anthrisci,Andrena anthrisci,10,12,Andrenidae,Andrena
Andrena antigana,Andrena antigana,1,4,Andrenidae,Andrena
Andrena apicata,Andrena apicata,2,2,Andrenidae,Andrena
Andrena arabis,Andrena arabis,1,4,Andrenidae,Andrena
Andrena argentata,Andrena argentata,5,7,Andrenidae,Andrena
Andrena asperrima,Andrena asperrima,4,10,Andrenidae,Andrena
Andrena assimilis,Andrena assimilis,11,12,Andrenidae,Andrena
Andrena barbilabris,Andrena barbilabris,12,28,Andrenidae,Andrena
Andrena bicolor,Andrena bicolor,25,47,Andrenidae,Andrena
Andrena bicolorata,Andrena bicolorata,1,2,Andrenidae,Andrena
Andrena bimaculata,Andrena bimaculata,10,21,Andrenidae,Andrena
Andrena bisalicis,Andrena bisalicis,2,2,Andrenidae,Andrena
Andrena biskrensis,Andrena biskrensis,5,6,Andrenidae,Andrena
Andrena blanda,Andrena blanda,1,1,Andrenidae,Andrena
Andrena boyerella,Andrena boyerella,1,2,Andrenidae,Andrena
Andrena bradleyi,Andrena bradleyi,1,1,Andrenidae,Andrena
Andrena brevipalpis,Andrena brevipalpis,2,1,Andrenidae,Andrena
Andrena bucephala,Andrena bucephala,4,5,Andrenidae,Andrena
Andrena caesia,Andrena caesia,2,6,Andrenidae,Andrena
Andrena canadensis,Andrena canadensis,1,1,Andrenidae,Andrena
Andrena carlini,Andrena carlini,16,21,Andrenidae,Andrena
Andrena ceanothi,Andrena ceanothi,7,8,Andrenidae,Andrena
Andrena chrysosceles,Andrena chrysosceles,12,23,Andrenidae,Andrena
Andrena cineraria,Andrena cineraria,16,25,Andrenidae,Andrena
Andrena cinerea,Andrena cinerea,1,3,Andrenidae,Andrena
Andrena clarkella,Andrena clarkella,1,1,Andrenidae,Andrena
Andrena colletiformis,Andrena colletiformis,1,3,Andrenidae,Andrena
Andrena commoda,Andrena commoda,9,11,Andrenidae,Andrena
Andrena corax,Andrena corax,2,2,Andrenidae,Andrena
Andrena crataegi,Andrena crataegi,10,13,Andrenidae,Andrena
Andrena cressonii,Andrena cressonii,11,15,Andrenidae,Andrena
Andrena decipiens,Andrena decipiens,3,3,Andrenidae,Andrena
Andrena denticulata,Andrena denticulata,3,11,Andrenidae,Andrena
Andrena discors,Andrena discors,8,13,Andrenidae,Andrena
Andrena djelfensis,Andrena djelfensis,2,4,Andrenidae,Andrena
Andrena dorsata,Andrena dorsata,18,42,Andrenidae,Andrena
Andrena doursana,Andrena doursana,1,2,Andrenidae,Andrena
Andrena elata,Andrena elata,1,1,Andrenidae,Andrena
Andrena erigeniae,Andrena erigeniae,2,2,Andrenidae,Andrena
Andrena erythrogaster,Andrena erythrogaster,2,2,Andrenidae,Andrena
Andrena fabrella,Andrena fabrella,1,2,Andrenidae,Andrena
Andrena farinosa,Andrena farinosa,1,2,Andrenidae,Andrena
Andrena ferrugineicrus,Andrena ferrugineicrus,1,4,Andrenidae,Andrena
Andrena flavipes,Andrena flavipes,31,86,Andrenidae,Andrena
Andrena florea,Andrena florea,1,1,Andrenidae,Andrena
Andrena florentina,Andrena florentina,1,1,Andrenidae,Andrena
Andrena forbesii,Andrena forbesii,11,17,Andrenidae,Andrena
Andrena frigida,Andrena frigida,2,2,Andrenidae,Andrena
Andrena fucata,Andrena fucata,9,17,Andrenidae,Andrena
Andrena fulica,Andrena fulica,2,4,Andrenidae,Andrena
Andrena fulva,Andrena fulva,12,17,Andrenidae,Andrena
Andrena fulvicornis,Andrena fulvicornis,2,5,Andrenidae,Andrena
Andrena funerea,Andrena funerea,1,3,Andrenidae,Andrena
Andrena fuscosa,Andrena fuscosa,8,9,Andrenidae,Andrena
Andrena gravida,Andrena gravida,12,19,Andrenidae,Andrena
Andrena haemorrhoa,Andrena haemorrhoa,19,38,Andrenidae,Andrena
Andrena hedikae,Andrena hedikae,1,3,Andrenidae,Andrena
Andrena helianthi,Andrena helianthi,1,1,Andrenidae,Andrena
Andrena helvola,Andrena helvola,11,16,Andrenidae,Andrena
Andrena hippotes,Andrena hippotes,9,13,Andrenidae,Andrena
Andrena hirticincta,Andrena hirticincta,1,1,Andrenidae,Andrena
Andrena hypopolia,Andrena hypopolia,3,4,Andrenidae,Andrena
Andrena hystrix,Andrena hystrix,1,3,Andrenidae,Andrena
Andrena icterina,Andrena icterina,8,10,Andrenidae,Andrena
Andrena illinoiensis,Andrena illinoiensis,1,1,Andrenidae,Andrena
Andrena imitatrix,Andrena imitatrix,7,11,Andrenidae,Andrena
Andrena integra,Andrena integra,1,1,Andrenidae,Andrena
Andrena isis,Andrena isis,1,2,Andrenidae,Andrena
Andrena juliana,Andrena juliana,5,5,Andrenidae,Andrena
Andrena labialis,Andrena labialis,10,25,Andrenidae,Andrena
Andrena labiata,Andrena labiata,13,28,Andrenidae,Andrena
Andrena lagopus,Andrena lagopus,1,1,Andrenidae,Andrena
Andrena lateralis,Andrena lateralis,1,3,Andrenidae,Andrena
Andrena leptopyga,Andrena leptopyga,4,5,Andrenidae,Andrena
Andrena leucolippa,Andrena leucolippa,1,1,Andrenidae,Andrena
Andrena limata,Andrena limata,7,10,Andrenidae,Andrena
Andrena longibarbis,Andrena longibarbis,2,4,Andrenidae,Andrena
Andrena mandibularis,Andrena mandibularis,7,8,Andrenidae,Andrena
Andrena marginata,Andrena marginata,5,7,Andrenidae,Andrena
Andrena mediovittata,Andrena mediovittata,2,6,Andrenidae,Andrena
Andrena melacana,Andrena melacana,1,1,Andrenidae,Andrena
Andrena melittoides,Andrena melittoides,8,11,Andrenidae,Andrena
Andrena minapalumboi,Andrena minapalumboi,1,2,Andrenidae,Andrena
Andrena minutula,Andrena minutula,15,36,Andrenidae,Andrena
Andrena minutuloides,Andrena minutuloides,7,17,Andrenidae,Andrena
Andrena miranda,Andrena miranda,5,9,Andrenidae,Andrena
Andrena miserabilis,Andrena miserabilis,6,10,Andrenidae,Andrena
Andrena morio,Andrena morio,5,7,Andrenidae,Andrena
Andrena mucida,Andrena mucida,4,4,Andrenidae,Andrena
Andrena nana,Andrena nana,3,8,Andrenidae,Andrena
Andrena nasonii,Andrena nasonii,10,18,Andrenidae,Andrena
Andrena nigriceps,Andrena nigriceps,11,17,Andrenidae,Andrena
Andrena nigrihirta,Andrena nigrihirta,5,6,Andrenidae,Andrena
Andrena nigroaenea,Andrena nigroaenea,17,36,Andrenidae,Andrena
Andrena nigropilosa,Andrena nigropilosa,1,2,Andrenidae,Andrena
Andrena nigroviridula,Andrena nigroviridula,1,3,Andrenidae,Andrena
Andrena nitida,Andrena nitida,21,35,Andrenidae,Andrena
Andrena nitidula,Andrena nitidula,1,3,Andrenidae,Andrena
Andrena nivalis,Andrena nivalis,8,10,Andrenidae,Andrena
Andrena niveata,Andrena niveata,3,5,Andrenidae,Andrena
Andrena nubecula,Andrena nubecula,1,1,Andrenidae,Andrena
Andrena nuda,Andrena nuda,7,11,Andrenidae,Andrena
Andrena numida,Andrena numida,2,4,Andrenidae,Andrena
Andrena omnilaevis,Andrena omnilaevis,1,1,Andrenidae,Andrena
Andrena orana,Andrena orana,1,2,Andrenidae,Andrena
Andrena orbitalis,Andrena orbitalis,1,1,Andrenidae,Andrena
Andrena ornithogalumae,Andrena ornithogalumae,1,1,Andrenidae,Andrena
Andrena ovatula,Andrena ovatula,2,14,Andrenidae,Andrena
Andrena oviventris,Andrena oviventris,4,4,Andrenidae,Andrena
Andrena pandellei,Andrena pandellei,1,1,Andrenidae,Andrena
Andrena pandosa s. str.,Andrena pandosa,1,1,Andrenidae,Andrena
Andrena panurgina,Andrena panurgina,3,5,Andrenidae,Andrena
Andrena pauxilla,Andrena pauxilla,2,4,Andrenidae,Andrena
Andrena perplexa,Andrena perplexa,12,16,Andrenidae,Andrena
Andrena pilipes,Andrena pilipes,7,14,Andrenidae,Andrena
Andrena placata,Andrena placata,1,1,Andrenidae,Andrena
Andrena platyparia,Andrena platyparia,1,1,Andrenidae,Andrena
Andrena poupillieri,Andrena poupillieri,1,4,Andrenidae,Andrena
Andrena praecox,Andrena praecox,2,2,Andrenidae,Andrena
Andrena propinqua,Andrena propinqua,15,23,Andrenidae,Andrena
Andrena ranunculorum,Andrena ranunculorum,6,7,Andrenidae,Andrena
Andrena rhenana,Andrena rhenana,1,1,Andrenidae,Andrena
Andrena rhyssonota,Andrena rhyssonota,1,1,Andrenidae,Andrena
