beeFamily,species,Loads,dietFamily
Andrenidae,Andrena aeneiventris,15,1
Andrenidae,Andrena aerinifrons,25,1
Andrenidae,Andrena afrensis,16,5
Andrenidae,Andrena afzeliella,30,3
Andrenidae,Andrena agilissima,20,3
Andrenidae,Andrena albopunctata,15,6
Andrenidae,Andrena alfkenella,31,4
Andrenidae,Andrena alleghaniensis,13,9
Andrenidae,Andrena allosa,24,6
Andrenidae,Andrena amieti,50,8
Andrenidae,Andrena ampla,21,1
Andrenidae,Andrena andrenoides,12,1
Andrenidae,Andrena angustior,26,9
Andrenidae,Andrena anthrisci,22,3
Andrenidae,Andrena antigana,25,1
Andrenidae,Andrena apicata,19,1
Andrenidae,Andrena argentata,16,4
Andrenidae,Andrena asperrima,56,3
Andrenidae,Andrena assimilis,15,6
Andrenidae,Andrena asteris,20,1
Andrenidae,Andrena asteroides,20,1
Andrenidae,Andrena astragali,70,1
Andrenidae,Andrena balsamorhizae,20,1
Andrenidae,Andrena barbilabris,114,6
Andrenidae,Andrena beameri,12,1
Andrenidae,Andrena bicolor,78,12
Andrenidae,Andrena bimaculata,40,7
Andrenidae,Andrena biscutella,10,1
Andrenidae,Andrena biskrensis,15,4
Andrenidae,Andrena blanda,27,1
Andrenidae,Andrena boyerella,24,1
Andrenidae,Andrena bradleyi,49,1
Andrenidae,Andrena brevipalpis,25,2
Andrenidae,Andrena bullata,13,1
Andrenidae,Andrena caesia,18,1
Andrenidae,Andrena carlini,18,10
Andrenidae,Andrena carolina,15,1
Andrenidae,Andrena ceanothi,16,6
Andrenidae,Andrena chaparralensis,14,1
Andrenidae,Andrena chrysopus,NA,1
Andrenidae,Andrena chrysosceles,48,4
Andrenidae,Andrena cineraria,25,8
Andrenidae,Andrena cinerea,22,1
Andrenidae,Andrena clarkella,26,1
Andrenidae,Andrena coitana,50,10
Andrenidae,Andrena commoda,12,5
Andrenidae,Andrena corax,10,1
Andrenidae,Andrena crataegi,28,5
Andrenidae,Andrena crawfordi,20,1
Andrenidae,Andrena cressonii,20,5
Andrenidae,Andrena curvungula,NA,1
Andrenidae,Andrena decipiens,11,3
Andrenidae,Andrena denticulata,23,1
Andrenidae,Andrena discors,16,6
Andrenidae,Andrena distinguenda,NA,1
Andrenidae,Andrena djelfensis,20,1
Andrenidae,Andrena dorsata,78,7
Andrenidae,Andrena doursana,10,1
Andrenidae,Andrena elata,13,1
Andrenidae,Andrena erythrogaster,14,2
Andrenidae,Andrena fabrella,22,1
