Rank,Family,Species_wood,species,Rare10,Integer
327,Halictidae,Patellapis sp. 1,,4.139835,4
310,Megachilidae,Chelostoma species 3,,4.766818,5
132,Halictidae,Augochloropsis viridula (=metallica fulgida sensu Mitchell),Augochloropsis viridula,8.942147,9
537,Andrenidae,Andrena carolina (combined with TJW data),Andrena carolina,1,1
663,Colletidae,Colletes validus (combined with TJW data),Colletes validus,1,1
590,Andrenidae,Andrena russula [as A. similis],Andrena russula,1,1
711,Megachilidae,Hoplitis (Hoplitis) adunca,Hoplitis adunca,1,1
462,Apidae,Eucera (Synhalonia) aff. spectabilis, ,1.973389,2
731,Megachilidae,Hoplitis (Platosmia) africana,Hoplitis africana,1,1
315,Megachilidae,Osmia (Tergosmia) agilis,Osmia agilis,4.632739,5
704,Megachilidae,Hoplitis (Chlidoplitis) alli,Hoplitis alli,1,1
35,Megachilidae,Megachile (Megachile) alpicola,Megachile alpicola,12.763536,13
168,Apidae,Eucera (Synhalonia) alternans,Eucera alternans,8,8
791,Megachilidae,Osmia (Melanosmia) alticola,Osmia alticola,1,1
324,Megachilidae,Megachile (Xanthosarus) analis,Megachile analis,4.26959,4
777,Megachilidae,Osmia (Hemiosmia) anceps,Osmia anceps,1,1
782,Megachilidae,Osmia (Hoplosmia) anceyi,Osmia anceyi,1,1
183,Megachilidae,Osmia (Erythrosmia) andrenoides,Osmia andrenoides,7.789873,8
505,Megachilidae,Hoplitis (Hoplitis) annulata,Hoplitis annulata,1.360321,1
712,Megachilidae,Hoplitis (Hoplitis) anthocopoides,Hoplitis anthocopoides,1,1
274,Megachilidae,Megachile (Neoeutricharaea) apicalis,Megachile apicalis,5.403922,5
793,Megachilidae,Osmia (Osmia) apicata,Osmia apicata,1,1
713,Megachilidae,Hoplitis (Hoplitis) aqabaensis,Hoplitis aqabaensis,1,1
778,Megachilidae,Osmia (Hemiosmia) argyropyga,Osmia argyropyga,1,1
443,Megachilidae,Osmia (Helicosmia) aurulenta,Osmia aurulenta,2,2
796,Megachilidae,Osmia (Tergosmia) avosetta,Osmia avosetta,1,1
779,Megachilidae,Osmia (Hemiosmia) balearica,Osmia balearica,1,1
714,Megachilidae,Hoplitis (Hoplitis) bassana,Hoplitis bassana,1,1
480,Megachilidae,Hoplitis (Hoplitis) benoisti,Hoplitis benoisti,1.760362,2
13,Megachilidae,Osmia (Osmia) bicornis,Osmia bicornis,15.008247,15
499,Megachilidae,Osmia (Hoplosmia) bidentata,Osmia bidentata,1.410574,1
387,Megachilidae,Hoplitis (Hoplitis) bihamata,Hoplitis bihamata,2.999979,3
329,Megachilidae,"Hoplitis (Hoplitis) ""brunnescens"" =prosii Müller, 2022",Hoplitis brunnescens,4.105718,4
444,Megachilidae,Osmia (Helicosmia) caerulescens,Osmia caerulescens,2,2
783,Megachilidae,Osmia (Hoplosmia) carbo,Osmia carbo,1,1
512,Megachilidae,Hoplitis (Hoplitis) carinata,Hoplitis carinata,1.199601,1
784,Megachilidae,Osmia (Hoplosmia) centaureae,Osmia centaureae,1,1
371,Megachilidae,Osmia (Osmia) cerinthidis,Osmia cerinthidis,3.4316,3
715,Megachilidae,Hoplitis (Hoplitis) christae,Hoplitis christae,1,1
379,Megachilidae,Osmia (Hemiosmia) chrysolepta,Osmia chrysolepta,3.101876,3
