"","species","area"
"1","Andrena abrupta",84310328910.7819
"2","Andrena aegyptiaca",943708488721.146
"3","Andrena aeneiventris",4371023313449.65
"4","Andrena aerinifrons",760887134604.689
"5","Andrena afrensis",139036277256.276
"6","Andrena afzeliella",2374434779356.78
"7","Andrena agilissima",4305168033954.2
"8","Andrena albopunctata",5799865511421.34
"9","Andrena alfkenella",3677471626905.57
"10","Andrena algida",12214441053751
"11","Andrena aliciae",3148462970594.52
"12","Andrena alleghaniensis",3315399851979.34
"13","Andrena alluaudi",92647849018.5849
"14","Andrena ampla",1102594588739.86
"15","Andrena andrenoides",5956841565199.31
"16","Andrena angustior",2842510319868.2
"17","Andrena anthrisci",595681289405.73
"18","Andrena antigana",465094090079.724
"19","Andrena apicata",3631314790440.99
"20","Andrena arabis",3213871888325.06
"21","Andrena argentata",3173621646623.64
"22","Andrena asperrima",1112843308129.92
"23","Andrena assimilis",502894886964.113
"24","Andrena avara",0
"25","Andrena barbilabris",40628682927953.6
"26","Andrena bassana",0
"27","Andrena bellidis",74540693211.3864
"28","Andrena bicolor",17619361021135.4
"29","Andrena bicolorata",1553833908070.14
"30","Andrena bimaculata",7293556424250.57
"31","Andrena bisalicis",3705186116974.25
"32","Andrena biskrensis",24834533780.9296
"33","Andrena blanda",123421725740.792
"34","Andrena boyerella",15797751918.232
"35","Andrena bradleyi",2699009646065.88
"36","Andrena brevipalpis",3830826539704.92
"37","Andrena bucephala",854805614571.148
"38","Andrena byrsicola",0
"39","Andrena caesia",0
"40","Andrena canadensis",5546023173596.59
"41","Andrena carlini",6699755105485.13
"42","Andrena carolina",2186764246538.83
"43","Andrena ceanothi",2800052970918.63
"44","Andrena chromotricha",3360094361095.63
"45","Andrena chrysosceles",4594475505303.54
"46","Andrena cineraria",18526056650147
"47","Andrena cinerea",2951654534687.37
"48","Andrena clarkella",35307234968576.8
"49","Andrena coitana",4624665724855.64
"50","Andrena colletiformis",3808349384268.12
"51","Andrena combaella",884863943417.144
"52","Andrena combinata",1890919416473.34
