"","species","total_area","count"
"1","Afranthidium carduele",762629279820.069,7
"2","Agapostemon sericeus",11680770531733.7,3271
"3","Agapostemon virescens",19353479959339.5,23574
"4","Amegilla albigena",17679010121552.3,586
"5","Andrena aeneiventris",5363483009358.35,108
"6","Andrena aerinifrons",498055432936.936,14
"7","Andrena afrensis",254103516231.548,102
"8","Andrena afzeliella",4434979651657.38,555
"9","Andrena agilissima",6131181842296.11,906
"10","Andrena albopunctata",10914137584628.4,118
"11","Andrena alfkenella",6231729889754.37,533
"12","Andrena alleghaniensis",5899877420476.3,626
"13","Andrena allosa",210436387442.041,90
"14","Andrena amieti",398380451022.996,516
"15","Andrena ampla",1932096436834.63,439
"16","Andrena andrenoides",8378035336668.34,838
"17","Andrena angustior",4789578214491.95,1405
"18","Andrena anthrisci",1245426786651.57,48
"19","Andrena antigana",591653216066.456,32
"20","Andrena apicata",6819081813498.72,764
"21","Andrena argentata",8018262195236.68,1925
"22","Andrena asperrima",951792586800.968,35
"23","Andrena assimilis",988547999094.456,16
"24","Andrena asteris",5452816243702.38,748
"25","Andrena asteroides",795594563367.412,51
"26","Andrena astragali",4478628647241.49,519
"27","Andrena balsamorhizae",57323512564.96,213
"28","Andrena barbilabris",66923846771721.2,10343
"29","Andrena beameri",125431516769.901,20
"30","Andrena bicolor",31726741303691.3,17616
"31","Andrena bimaculata",13426168564484.2,846
"32","Andrena biskrensis",39166754361.9812,23
"33","Andrena blanda",134162477610.97,6
"34","Andrena boyerella",27646474936.5542,7
"35","Andrena bradleyi",4514316028851.8,737
"36","Andrena brevipalpis",6255060225643.06,687
"37","Andrena bullata",238732401099.666,24
"38","Andrena carlini",12266152595799.4,9710
"39","Andrena carolina",3519982055483.66,1003
"40","Andrena ceanothi",4800474124522.62,453
"41","Andrena chaparralensis",87228429.714819,7
"42","Andrena chrysopus",1936582475426.69,44
"43","Andrena chrysosceles",11574793439335.2,5768
"44","Andrena cineraria",39807613942862.6,20613
"45","Andrena cinerea",3815342364593.45,112
