beeFamily,species,Loads,dietFamily,area,count_in_Dorey
Andrenidae,Andrena aeneiventris,15,1,5363483009358,108
Andrenidae,Andrena aerinifrons,25,1,498055432937,14
Andrenidae,Andrena afrensis,16,5,254103516232,102
Andrenidae,Andrena afzeliella,30,3,4434979651657,555
Andrenidae,Andrena agilissima,20,3,6131181842296,906
Andrenidae,Andrena albopunctata,15,6,10914137584628,118
Andrenidae,Andrena alfkenella,31,4,6231729889754,533
Andrenidae,Andrena alleghaniensis,13,9,5899877420476,626
Andrenidae,Andrena allosa,24,6,210436387442,90
Andrenidae,Andrena amieti,50,8,398380451023,516
Andrenidae,Andrena ampla,21,1,1932096436835,439
Andrenidae,Andrena andrenoides,12,1,8378035336668,838
Andrenidae,Andrena angustior,26,9,4789578214492,1405
Andrenidae,Andrena anthrisci,22,3,1245426786652,48
Andrenidae,Andrena antigana,25,1,591653216066,32
Andrenidae,Andrena apicata,19,1,6819081813499,764
Andrenidae,Andrena argentata,16,4,8018262195237,1925
Andrenidae,Andrena asperrima,56,3,951792586801,35
Andrenidae,Andrena assimilis,15,6,988547999094,16
Andrenidae,Andrena asteris,20,1,5452816243702,748
Andrenidae,Andrena asteroides,20,1,795594563367,51
Andrenidae,Andrena astragali,70,1,4478628647241,519
Andrenidae,Andrena balsamorhizae,20,1,57323512565,213
Andrenidae,Andrena barbilabris,114,6,66923846771721,10343
Andrenidae,Andrena beameri,12,1,125431516770,20
Andrenidae,Andrena bicolor,78,12,31726741303691,17616
Andrenidae,Andrena bimaculata,40,7,13426168564484,846
Andrenidae,Andrena biskrensis,15,4,39166754362,23
Andrenidae,Andrena blanda,27,1,134162477611,6
Andrenidae,Andrena boyerella,24,1,27646474937,7
Andrenidae,Andrena bradleyi,49,1,4514316028852,737
Andrenidae,Andrena brevipalpis,25,2,6255060225643,687
Andrenidae,Andrena bullata,13,1,238732401100,24
Andrenidae,Andrena carlini,18,10,12266152595799,9710
Andrenidae,Andrena carolina,15,1,3519982055484,1003
Andrenidae,Andrena ceanothi,16,6,4800474124523,453
Andrenidae,Andrena chaparralensis,14,1,87228429.71,7
Andrenidae,Andrena chrysopus,NA,1,1936582475427,44
