bee_species,bee_genus,bee_family,eoo_size_m2,count_in_Dorey,diet_families_rareCount,diet_genera_rareCount,diet_binary
Andrena leptopyga,Andrena,Andrenidae,89706161650,4,3.895122,3.9973,Generalist
Andrena mocsaryi,Andrena,Andrenidae,100290423254,4,1,NA,Specialist
Camptopoeum sacrum,Camptopoeum,Andrenidae,22963336116,4,1,1,Specialist
Anthidium dalmaticum,Anthidium,Megachilidae,893935521.1,4,3.961587,NA,Generalist
Eoanthidium clypeare,Eoanthidium,Megachilidae,1208355165,4,8.16094,NA,Generalist
Icteranthidium fedtschenkoi,Icteranthidium,Megachilidae,11270392975,4,1,NA,Specialist
Osmia padri,Osmia,Megachilidae,6250173433,4,1,NA,Specialist
Wainia eremoplana,Wainia,Megachilidae,12520252571,4,1.999912,NA,Generalist
Panurgus perezi,Panurgus,Andrenidae,101465017501,5,1,1,Specialist
Colletes dusmeti,Colletes,Colletidae,59261098270,5,8.756259,NA,Generalist
Anthidium undulatum,Anthidium,Megachilidae,706282931120,5,4.980436,NA,Generalist
Osmia melanocephala,Osmia,Megachilidae,113893568428,5,5.96874,NA,Generalist
Osmia rhodoensis,Osmia,Megachilidae,61055311746,5,5.453038,NA,Generalist
Stenoheriades asiatica,Stenoheriades,Megachilidae,2267158880,5,1,NA,Specialist
Andrena blanda,Andrena,Andrenidae,134162477611,6,1,1,Specialist
Eucera alternans,Eucera,Apidae,952265657939,6,8,11,Generalist
Melipona mimetica,Melipona,Apidae,15601441448,6,20.206686,NA,Generalist
Chelostoma ventrale,Chelostoma,Megachilidae,1569011454487,6,1,NA,Specialist
Osmia fedtschenkoi,Osmia,Megachilidae,10045890.52,6,5.138479,NA,Generalist
Osmia nigrohirta,Osmia,Megachilidae,42014393194,6,9.208775,NA,Generalist
Osmia uncicornis,Osmia,Megachilidae,27544305522,6,1,NA,Specialist
Pseudoanthidium eximium,Pseudoanthidium,Megachilidae,2148303175668,6,1,NA,Specialist
Dasypoda dusmeti,Dasypoda,Melittidae,325787296481,6,3.576374,NA,Generalist
Dasypoda maura,Dasypoda,Melittidae,14102801764,6,1.726817,NA,Generalist
Andrena boyerella,Andrena,Andrenidae,27646474937,7,1,1,Specialist
Andrena chaparralensis,Andrena,Andrenidae,87228429.71,7,1,NA,Specialist
Andrena pauxilla,Andrena,Andrenidae,51290361721,7,2,3.9925,Generalist
Flavipanurgus kastiliensis,Flavipanurgus,Andrenidae,9591870155,7,1,1,Specialist
Colletes dorsalis,Colletes,Colletidae,849519742.8,7,3.992828,NA,Generalist
Afranthidium carduele,Afranthidium,Megachilidae,762629279820,7,1,NA,Specialist
Hoplitis pici,Hoplitis,Megachilidae,36882626721,7,1.83957,NA,Generalist
Dasypoda sinuata,Dasypoda,Melittidae,666301781789,7,2.524179,NA,Generalist
Andrena pandosa,Andrena,Andrenidae,306581153210,8,1,1,Specialist
Bombus incertus,Bombus,Apidae,227697418537,8,8.816431,17.455,Generalist
Trachusa pubescens,Trachusa,Megachilidae,883041646101,8,1.645161,NA,Generalist
Andrena djelfensis,Andrena,Andrenidae,188179962157,9,1,2.9998,Specialist
Panurgus cephalotes,Panurgus,Andrenidae,295058008016,9,1,5.3174,Specialist
Bombus brodmannicus,Bombus,Apidae,146397735.3,9,6.578768,7.9157,Generalist
Colletes brevigena,Colletes,Colletidae,1008399671504,9,7.897349,NA,Generalist
Colletes ligatus,Colletes,Colletidae,1385603982663,9,2.846049,NA,Generalist
Colletes tuberculatus,Colletes,Colletidae,1496102351123,9,1,NA,Specialist
Lipotriches tanganyicensis,Lipotriches,Halictidae,83653528935,9,1,NA,Specialist
Chelostoma mocsaryi,Chelostoma,Megachilidae,118727013399,9,1,NA,Specialist
Eoanthidium insulare,Eoanthidium,Megachilidae,44073737250,9,9.659714,NA,Generalist
Panurginus albopilosus,Panurginus,Andrenidae,923439272657,10,1,1,Specialist
Eucera eucnemidea,Eucera,Apidae,383060731321,10,1.998331,6.59,Generalist
Anthidiellum breviusculum,Anthidiellum,Megachilidae,757292122765,10,4.419379,NA,Generalist
Anthidium spiniventre,Anthidium,Megachilidae,3236523462,10,1,NA,Specialist
Anthidium tesselatum,Anthidium,Megachilidae,71419458935,10,1,NA,Specialist
Hoplitis fertoni,Hoplitis,Megachilidae,110873013184,10,2.038783,NA,Generalist
Osmia spinigera,Osmia,Megachilidae,786895016592,10,1,NA,Specialist
Colletes punctatus,Colletes,Colletidae,882769501879,11,1,NA,Specialist
Eucera furfurea,Eucera,Apidae,359598016052,12,1,1,Specialist
Colletes carinatus,Colletes,Colletidae,851314103836,12,3,NA,Generalist
Chelostoma aureocinctum,Chelostoma,Megachilidae,132296856978,12,1,NA,Specialist
Hoplitis carinata,Hoplitis,Megachilidae,73628098568,12,1.199601,NA,Generalist
Osmia emarginata,Osmia,Megachilidae,152770073064,12,4.418346,NA,Generalist
Osmia scheherazade,Osmia,Megachilidae,6475155.312,12,1,NA,Specialist
Andrena elata,Andrena,Andrenidae,1340331154,13,1,1,Specialist
Andrena fulica,Andrena,Andrenidae,221061215933,13,1,3.8333,Specialist
Panurgus canescens,Panurgus,Andrenidae,544561470020,13,1,2,Specialist
Colletes acutus,Colletes,Colletidae,77977129874,13,3.912804,NA,Generalist
Halictus crenicornis,Halictus,Halictidae,355990686610,13,11.999405,13.818,Generalist
Osmia argyropyga,Osmia,Megachilidae,97615016853,13,1,NA,Specialist
Dasypoda braccata,Dasypoda,Melittidae,1317227143385,13,1.708004,NA,Generalist
Dasypoda morotei,Dasypoda,Melittidae,198531685926,13,4.825153,NA,Generalist
Andrena aerinifrons,Andrena,Andrenidae,498055432937,14,1,2.4,Specialist
Colletes caskanus,Colletes,Colletidae,559928845251,14,4.994055,NA,Generalist
Lasioglossum corvinum,Lasioglossum,Halictidae,1655069803473,14,1.833333,3.8403,Generalist
Anthidium anguliventre,Anthidium,Megachilidae,3559547.75,14,2.251256,NA,Generalist
Chelostoma diodon,Chelostoma,Megachilidae,15317282523,14,1.277778,NA,Generalist
Osmia excavata,Osmia,Megachilidae,453842304313,14,6.512813,NA,Generalist
Pseudoanthidium reticulatum,Pseudoanthidium,Megachilidae,597457542178,14,1,NA,Specialist
Colletes foveolaris,Colletes,Colletidae,1184898191023,15,2.27027,NA,Generalist
Dasypoda cingulata,Dasypoda,Melittidae,912554612636,15,7.945953,NA,Generalist
Andrena assimilis,Andrena,Andrenidae,988547999094,16,9.463602,11.122,Generalist
Andrena numida,Andrena,Andrenidae,171416510929,16,2,4,Generalist
Anthidium echinatum,Anthidium,Megachilidae,91961683311,16,5.999995,NA,Generalist
Osmia croatica,Osmia,Megachilidae,640902988507,16,1,NA,Specialist
Osmia distinguenda,Osmia,Megachilidae,13022265422,16,1,NA,Specialist
Osmia pedicornis,Osmia,Megachilidae,2304403211012,16,7.435642,NA,Generalist
Trachusa dumerlei,Trachusa,Megachilidae,264546818323,16,1,NA,Specialist
Eucera notata,Eucera,Apidae,651974936512,17,1.986132,8.5848,Generalist
Osmia carbo,Osmia,Megachilidae,2041461106,17,1,NA,Specialist
Osmia steinmanni,Osmia,Megachilidae,21708568229,17,1.964448,NA,Generalist
Stenoheriades coelostoma,Stenoheriades,Megachilidae,3900972068,17,1,NA,Specialist
Colletes cariniger,Colletes,Colletidae,938824314031,19,1.4,NA,Generalist
Rhodanthidium siculum,Rhodanthidium,Megachilidae,1098063457138,19,8.379787,NA,Generalist
Andrena beameri,Andrena,Andrenidae,125431516770,20,1.833333,NA,Generalist
Clavipanurgus punctiventris,Clavipanurgus,Andrenidae,63370660081,21,1,NA,Specialist
Colletes maidli,Colletes,Colletidae,2021338397743,21,8.522361,NA,Generalist
Osmia apicata,Osmia,Megachilidae,1678655650295,21,1,NA,Specialist
Osmia balearica,Osmia,Megachilidae,9084704509,21,1,NA,Specialist
Andrena tuberculifera,Andrena,Andrenidae,414772142205,22,4.411875,6.7526,Generalist
Osmia difficilis,Osmia,Megachilidae,1457967806094,22,1,NA,Specialist
Osmia pinguis,Osmia,Megachilidae,301894363604,22,1,NA,Specialist
Andrena biskrensis,Andrena,Andrenidae,39166754362,23,3.985921,5.9859,Generalist
Lasioglossum bimaculatum,Lasioglossum,Halictidae,581742574182,23,4.61322,5.6197,Generalist
Lasioglossum mediterraneum,Lasioglossum,Halictidae,975965057501,23,14.931701,18.115,Generalist
Andrena bullata,Andrena,Andrenidae,238732401100,24,1,NA,Specialist
Andrena sardoa,Andrena,Andrenidae,1405968326593,24,1,NA,Specialist
Eucera elongatula,Eucera,Apidae,565863408847,24,8.271956,14.517,Generalist
Eucera proxima,Eucera,Apidae,2953898430336,24,1.999828,NA,Generalist
Melitomella murihirta,Melitomella,Apidae,17711046.48,24,1,NA,Specialist
Dasypoda visnaga,Dasypoda,Melittidae,744904893491,24,1,NA,Specialist
Colletes perezi,Colletes,Colletidae,2313854658499,25,10.027511,NA,Generalist
Lipotriches cinerascens,Lipotriches,Halictidae,1139402576368,25,1,NA,Specialist
Hoplitis pallicornis,Hoplitis,Megachilidae,629730759168,25,5.109567,NA,Generalist
Hoplitis bihamata,Hoplitis,Megachilidae,12209402621,26,2.999979,NA,Generalist
Capicola micheneri,Capicola,Melittidae,146924842483,26,1,NA,Specialist
Euryglossa aureophila,Euryglossa,Colletidae,453436870.9,27,1,NA,Specialist
Pseudoanthidium melanurum,Pseudoanthidium,Megachilidae,3806569397865,27,1.333333,NA,Generalist
Andrena mucida,Andrena,Andrenidae,1170629367373,28,2.70922,3.7127,Generalist
Dasypoda crassicornis,Dasypoda,Melittidae,700646379938,28,2.9992,NA,Generalist
