"","bee_species","fam_hill_2","bee_genus","bee_family","eoo_size_m2","count_in_Dorey","diet_families_rareCount","diet_binary","log_area","log_diet","log_hill"
"1","Andrena aeneiventris",1,"Andrena","Andrenidae",5363483009358,108,1,"Specialist",29.3106346951515,0,0
"2","Andrena aerinifrons",1,"Andrena","Andrenidae",498055432937,14,1,"Specialist",26.9339772188949,0,0
"3","Andrena afrensis",1.46774777288239,"Andrena","Andrenidae",254103516232,102,6.482625,"Generalist",26.2610075651618,1.86912552092892,0.38372909859251
"4","Andrena afzeliella",1.16194398742058,"Andrena","Andrenidae",4434979651657,555,5.400241,"Generalist",29.1205441435526,1.68644358220399,0.150094453671143
"5","Andrena agilissima",1.07883406671544,"Andrena","Andrenidae",6131181842296,906,2.954619,"Generalist",29.4444086437532,1.08336970853521,0.075880890126936
"6","Andrena albopunctata",1.90856981020717,"Andrena","Andrenidae",10914137584628,118,7.620169,"Generalist",30.0210800908646,2.03079854793031,0.646354171107482
"7","Andrena alfkenella",1.21274225810194,"Andrena","Andrenidae",6231729889754,533,4.89834,"Generalist",29.460675081092,1.58889637220899,0.192884124368482
"8","Andrena alleghaniensis",2.01229309902466,"Andrena","Andrenidae",5899877420476,626,9.745688,"Generalist",29.4059526904339,2.27682493077529,0.699274917087425
"9","Andrena allosa",1.70727423752364,"Andrena","Andrenidae",210436387442,90,7.548516,"Generalist",26.0724492469728,2.02135098764982,0.534898085579866
"10","Andrena amieti",2.20210259701434,"Andrena","Andrenidae",398380451023,516,12.100598,"Generalist",26.7106732927356,2.4932548728691,0.789412629864649
"11","Andrena ampla",1,"Andrena","Andrenidae",1932096436835,439,1,"Specialist",28.2896267660192,0,0
"12","Andrena andrenoides",1,"Andrena","Andrenidae",8378035336668,838,1,"Specialist",29.7566345562373,0,0
"13","Andrena angustior",2.89270665223654,"Andrena","Andrenidae",4789578214492,1405,12.412095,"Generalist",29.1974634680446,2.51867140044018,1.06219262169498
"14","Andrena anthrisci",1.22441177938492,"Andrena","Andrenidae",1245426786652,48,5.986021,"Generalist",27.8504993876262,1.78942691761012,0.202460548579367
"15","Andrena antigana",1.00304539768105,"Andrena","Andrenidae",591653216066,32,1,"Specialist",27.1061865165198,0,0.00304076985087576
"16","Andrena apicata",1.0126878106056,"Andrena","Andrenidae",6819081813499,764,1.776942,"Generalist",29.5507459472685,0.574893909360156,0.0126079947532029
"17","Andrena argentata",1.97328934383427,"Andrena","Andrenidae",8018262195237,1925,7.591083,"Generalist",29.712742830442,2.02697426897565,0.679701868003457
"18","Andrena asperrima",1.19087810169772,"Andrena","Andrenidae",951792586801,35,3.688298,"Generalist",27.5816129769931,1.30516510503303,0.174690935594974
"19","Andrena assimilis",2.36041165084034,"Andrena","Andrenidae",988547999094,16,9.463602,"Generalist",27.6195030358835,2.24745307169204,0.858836032148847
"20","Andrena asteris",1,"Andrena","Andrenidae",5452816243702,748,1,"Specialist",29.3271533331022,0,0
"21","Andrena asteroides",1,"Andrena","Andrenidae",795594563367,51,1,"Specialist",27.4023555505281,0,0
"22","Andrena astragali",1,"Andrena","Andrenidae",4478628647241,519,1,"Specialist",29.130338009969,0,0
"23","Andrena balsamorhizae",1,"Andrena","Andrenidae",57323512565,213,1.876884,"Generalist",24.7719767179486,0.629612954948756,0
"24","Andrena barbilabris",2.24289507297269,"Andrena","Andrenidae",66923846771721,10343,8.391719,"Generalist",31.834576473535,2.12724538626265,0.807767474672436
"25","Andrena beameri",1,"Andrena","Andrenidae",125431516770,20,1.833333,"Generalist",25.5550257634715,0.606135621752117,0
"26","Andrena bicolor",3.04524882568233,"Andrena","Andrenidae",31726741303691,17616,18.110335,"Generalist",31.0881810154519,2.8964827697916,1.11358261397511
"27","Andrena bimaculata",2.16460323777659,"Andrena","Andrenidae",13426168564484,846,8.695272,"Generalist",30.2282267964448,2.16277942966314,0.772237082662964
"28","Andrena biskrensis",1.19426485928871,"Andrena","Andrenidae",39166754362,23,3.985921,"Generalist",24.3910941208898,1.38276840222641,0.177530815570765
"29","Andrena blanda",1,"Andrena","Andrenidae",134162477611,6,1,"Specialist",25.6223174218743,0,0
"30","Andrena boyerella",1,"Andrena","Andrenidae",27646474937,7,1,"Specialist",24.0427640680713,0,0
"31","Andrena bradleyi",1,"Andrena","Andrenidae",4514316028852,737,1,"Specialist",29.1382748026956,0,0
"32","Andrena brevipalpis",1.0650430419568,"Andrena","Andrenidae",6255060225643,687,1.996885,"Generalist",29.4644118882012,0.69158846639595,0.0630152133276352
"33","Andrena bullata",1,"Andrena","Andrenidae",238732401100,24,1,"Specialist",26.1986091009202,0,0
"34","Andrena carlini",2.53713347510978,"Andrena","Andrenidae",12266152595799,9710,12.737994,"Generalist",30.137864763606,2.5445891809175,0.931034890628478
"35","Andrena carolina",1,"Andrena","Andrenidae",3519982055484,1003,1,"Specialist",28.8894770076517,0,0
"36","Andrena ceanothi",1.8995365798429,"Andrena","Andrenidae",4800474124523,453,6.948806,"Generalist",29.1997358049067,1.93856984625649,0.641609951076804
"37","Andrena chaparralensis",1,"Andrena","Andrenidae",87228429.71,7,1,"Specialist",18.2840408645278,0,0
"38","Andrena chrysopus",1,"Andrena","Andrenidae",1936582475427,44,1,"Specialist",28.2919459249385,0,0
"39","Andrena chrysosceles",2.02475369520102,"Andrena","Andrenidae",11574793439335,5768,8.157459,"Generalist",30.0798508703278,2.09893272342306,0.705448061161234
"40","Andrena cineraria",2.41559565554585,"Andrena","Andrenidae",39807613942863,20613,12.679539,"Generalist",31.3150793150195,2.53998959188129,0.881945904951005
"41","Andrena cinerea",1,"Andrena","Andrenidae",3815342364593,112,1,"Specialist",28.9700515183404,0,0
"42","Andrena clarkella",1,"Andrena","Andrenidae",75854003954088,12607,1,"Specialist",31.9598316081227,0,0
"43","Andrena coitana",2.34086522346044,"Andrena","Andrenidae",10334396187539,1636,11.16181,"Generalist",29.9664988833148,2.4124981301823,0.850520614643159
"44","Andrena commoda",1.80005621692302,"Andrena","Andrenidae",10953779542544,1134,6.806122,"Generalist",30.0247056763384,1.91782250127803,0.587817896038322
"45","Andrena crataegi",2.01992012745303,"Andrena","Andrenidae",16358767572410,6493,8.461309,"Generalist",30.4257851125058,2.13550388978136,0.703057969766515
"46","Andrena crawfordi",1,"Andrena","Andrenidae",495320918297,185,1,"Specialist",26.9284717092385,0,0
"47","Andrena cressonii",1.97061898879009,"Andrena","Andrenidae",13621701285587,4396,8.611134,"Generalist",30.2426853196853,2.15305601708407,0.678347700904718
"48","Andrena curvungula",1,"Andrena","Andrenidae",5405453181411,948,1,"Specialist",29.3184294083543,0,0
"49","Andrena decipiens",1.71732513162947,"Andrena","Andrenidae",2537316941626,107,3,"Generalist",28.562128316463,1.09861228866811,0.54076792428566
"50","Andrena denticulata",1.01744750529592,"Andrena","Andrenidae",39606382374652,6460,2.116385,"Generalist",31.3100113922794,0.749709444515636,0.0172970451569445
"51","Andrena djelfensis",1.00145250943965,"Andrena","Andrenidae",188179962157,9,1,"Specialist",25.960664587425,0,0.00145145556819219
"52","Andrena dorsata",2.13374362354116,"Andrena","Andrenidae",13787807360762,7997,12.858989,"Generalist",30.2548057929714,2.55404309985594,0.757878006740633
"53","Andrena elata",1,"Andrena","Andrenidae",1340331154,13,1,"Specialist",21.0161825502284,0,0
"54","Andrena erythrogaster",1.05413128175988,"Andrena","Andrenidae",11716883432472,1672,1.998422,"Generalist",30.0920519459837,0.692357869135625,0.0527169981121635
"55","Andrena fabrella",1.00304429225227,"Andrena","Andrenidae",658347790937,72,1,"Specialist",27.2129991862893,0,0.00303966777773709
"56","Andrena ferrugineicrus",1,"Andrena","Andrenidae",593853542361,47,1,"Specialist",27.1098985642259,0,0
"57","Andrena flavipes",2.6233089783494,"Andrena","Andrenidae",28318808488056,27309,13.108437,"Generalist",30.9745473107071,2.57325606870014,0.964436489734395
"58","Andrena floricola",1,"Andrena","Andrenidae",2256188605413,165,1,"Specialist",28.4446980477601,0,0
"59","Andrena forbesii",1.665547562777,"Andrena","Andrenidae",15200710920392,2327,10.378846,"Generalist",30.3523633137655,2.33976969622012,0.510153935900397
"60","Andrena freygessneri",1.38167188905361,"Andrena","Andrenidae",120424388057,51,8.719384,"Generalist",25.5142879079219,2.16554859322378,0.323294279685427
"61","Andrena frigida",1.0263389165139,"Andrena","Andrenidae",29816302812070,1542,1.992494,"Generalist",31.0260764340799,0.689387120385353,0.0259980201885603
"62","Andrena fucata",2.04921849233467,"Andrena","Andrenidae",39942303964545,5725,13.177618,"Generalist",31.3184571278946,2.57851978436469,0.717458497214881
"63","Andrena fulica",1.00457725253169,"Andrena","Andrenidae",221061215933,13,1,"Specialist",26.12170549528,0,0.00456680876835511
"64","Andrena fulva",1.69399932696826,"Andrena","Andrenidae",7925040387319,26483,6.643529,"Generalist",29.7010485318706,1.89364329820866,0.527092198926515
"65","Andrena fulvicornis",1.09700860431403,"Andrena","Andrenidae",5025686534350,66,1.999967,"Generalist",29.2455831842928,0.693130680423819,0.0925870247573463
"66","Andrena fulvipennis",1,"Andrena","Andrenidae",1729562893861,211,1,"Specialist",28.1788898300056,0,0
"67","Andrena funerea",1,"Andrena","Andrenidae",194336403,32,1,"Specialist",19.0851012514053,0,0
"68","Andrena fuscipes",1,"Andrena","Andrenidae",9184460021195,4629,1,"Specialist",29.8485340436672,0,0
"69","Andrena fuscosa",2.03717302668884,"Andrena","Andrenidae",10752337386417,120,7.165522,"Generalist",30.0061442781621,1.96928091277853,0.711563075556227
"70","Andrena gardineri",1,"Andrena","Andrenidae",4616247466128,588,1.99891,"Generalist",29.1606032542104,0.692602031993464,0
"71","Andrena gelriae",1,"Andrena","Andrenidae",7771022211184,315,1,"Specialist",29.681422830366,0,0
"72","Andrena granulosa",1,"Andrena","Andrenidae",1272639904747,29,1,"Specialist",27.872114524119,0,0
"73","Andrena gravida",2.44802883075507,"Andrena","Andrenidae",6460026050339,4447,10.310325,"Generalist",29.4966544662751,2.33314582032544,0.895283141849956
"74","Andrena haemorrhoa",2.00604087020706,"Andrena","Andrenidae",51683099924643,44023,12.245116,"Generalist",31.576151956666,2.50512716361365,0.696163063313781
"75","Andrena haynesi",1,"Andrena","Andrenidae",3579986650164,231,1.992991,"Generalist",28.9063801873297,0.689636525415143,-4.44089209850063e-16
"76","Andrena helianthiformis",1,"Andrena","Andrenidae",2653838288326,73,1.951424,"Generalist",28.6070281186807,0.668559362478438,0
