"","species"
"1","Andrena aeneiventris"
"2","Andrena aerinifrons"
"3","Andrena afrensis"
"4","Andrena afzeliella"
"5","Andrena agilissima"
"6","Andrena albopunctata"
"7","Andrena alfkenella"
"8","Andrena aliciae"
"9","Andrena alleghaniensis"
"10","Andrena ampla"
"11","Andrena andrenoides"
"12","Andrena angustior"
"13","Andrena anthrisci"
"14","Andrena antigana"
"15","Andrena apicata"
"16","Andrena arabis"
"17","Andrena argentata"
"18","Andrena asperrima"
"19","Andrena assimilis"
"20","Andrena barbilabris"
"21","Andrena barbilabris"
"22","Andrena bicolor"
"23","Andrena bimaculata"
"24","Andrena biskrensis"
"25","Andrena blanda"
"26","Andrena boyerella"
"27","Andrena bradleyi"
"28","Andrena brevipalpis"
"29","Andrena canadensis"
"30","Andrena carlini"
"31","Andrena carolina"
"32","Andrena ceanothi"
"33","Andrena chrysosceles"
"34","Andrena cineraria"
"35","Andrena cinerea"
"36","Andrena clarkella"
"37","Andrena clarkella"
"38","Andrena coitana"
"39","Andrena commoda"
"40","Andrena crataegi"
"41","Andrena cressonii"
"42","Andrena decipiens"
"43","Andrena distans"
"44","Andrena djelfensis"
"45","Andrena dorsata"
"46","Andrena elata"
"47","Andrena erigeniae"
"48","Andrena erythrogaster"
"49","Andrena fabrella"
"50","Andrena ferrugineicrus"
"51","Andrena flavipes"
"52","Andrena florea"
"53","Andrena forbesii"
"54","Andrena frigida"
"55","Andrena fucata"
"56","Andrena fulica"
"57","Andrena fulva"
"58","Andrena fulvago"
"59","Andrena fulvicornis"
"60","Andrena funerea"
"61","Andrena fuscosa"
"62","Andrena gardineri"
"63","Andrena geranii"
"64","Andrena granulosa"
"65","Andrena gravida"
"66","Andrena haemorrhoa"
"67","Andrena hattorfiana"
"68","Andrena helianthi"
"69","Andrena helvola"
"70","Andrena hippotes"
"71","Andrena hirticincta"
"72","Andrena humilis"
"73","Andrena imitatrix"
"74","Andrena integra"
"75","Andrena labialis"
"76","Andrena labiata"
"77","Andrena lagopus"
"78","Andrena lapponica"
"79","Andrena lathyri"
"80","Andrena leptopyga"
"81","Andrena leucolippa"
"82","Andrena longibarbis"
"83","Andrena mandibularis"
"84","Andrena minutula"
"85","Andrena minutuloides"
"86","Andrena miranda"
"87","Andrena miserabilis"
"88","Andrena mucida"
"89","Andrena nana"
"90","Andrena nasonii"
"91","Andrena nigriceps"
"92","Andrena nigroaenea"
"93","Andrena nitida"
"94","Andrena nitidula"
"95","Andrena nivalis"
"96","Andrena niveata"
"97","Andrena nubecula"
"98","Andrena nuda"
"99","Andrena numida"
"100","Andrena ovatula"
"101","Andrena oviventris"
"102","Andrena pandellei"
"103","Andrena pauxilla"
"104","Andrena perplexa"
"105","Andrena pilipes"
"106","Andrena placata"
"107","Andrena platyparia"
"108","Andrena praecox"
"109","Andrena propinqua"
"110","Andrena proxima"
"111","Andrena ranunculorum"
"112","Andrena robertsonii"
"113","Andrena rudbeckiae"
"114","Andrena rufosignata"
"115","Andrena rugosa"
"116","Andrena russula"
"117","Andrena sardoa"
"118","Andrena saxonica"
"119","Andrena scotica"
"120","Andrena semilaevis"
"121","Andrena senecionis"
"122","Andrena sigmundi"
"123","Andrena simillima"
"124","Andrena simplex"
"125","Andrena spiraeana"
"126","Andrena spolata"
"127","Andrena spreta"
"128","Andrena subopaca"
"129","Andrena synadelpha"
"130","Andrena tarsata"
"131","Andrena tenuistriata"
"132","Andrena thoracica"
"133","Andrena trimmerana"
"134","Andrena tscheki"
"135","Andrena tuberculifera"
"136","Andrena variabilis"
"137","Andrena varians"
"138","Andrena ventricosa"
"139","Andrena verticalis"
"140","Andrena vetula"
"141","Andrena vicina"
"142","Andrena virginiana"
"143","Andrena viridescens"
"144","Andrena w-scripta"
"145","Andrena wellesleyana"
"146","Andrena wilkella"
"147","Andrena wilkella"
"148","Andrena ziziae"
"149","Camptopoeum friesei"
"150","Camptopoeum frontale"
"151","Camptopoeum sacrum"
"152","Clavipanurgus punctiventris"
"153","Flavipanurgus kastiliensis"
"154","Panurginus albopilosus"
"155","Panurgus canescens"
"156","Panurgus cephalotes"
"157","Panurgus maroccanus"
"158","Panurgus perezi"
"159","Perdita octomaculata"
"160","Amegilla albigena"
"161","Anthophora aestivalis"
"162","Anthophora atroalba"
"163","Anthophora bimaculata"
"164","Anthophora furcata"
"165","Anthophora plumipes"
"166","Anthophora quadrimaculata"
"167","Bombus affinis"
"168","Bombus alpinus"
"169","Bombus argillaceus"
"170","Bombus armeniacus"
"171","Bombus auricomus"
"172","Bombus bimaculatus"
"173","Bombus borealis"
"174","Bombus brodmannicus"
"175","Bombus confusus"
"176","Bombus cullumanus"
"177","Bombus fervidus"
"178","Bombus fragrans"
"179","Bombus frigidus"
"180","Bombus griseocollis"
"181","Bombus haematurus"
"182","Bombus hortorum"
"183","Bombus humilis"
"184","Bombus hypnorum"
"185","Bombus impatiens"
"186","Bombus incertus"
"187","Bombus lapidarius"
"188","Bombus melanurus"
"189","Bombus mendax"
"190","Bombus mesomelas"
"191","Bombus monticola"
"192","Bombus mucidus"
"193","Bombus muscorum"
"194","Bombus niveatus"
"195","Bombus pascuorum"
"196","Bombus pensylvanicus"
"197","Bombus perplexus"
"198","Bombus pomorum"
"199","Bombus pratorum"
"200","Bombus ruderarius"
"201","Bombus ruderatus"
"202","Bombus rufocinctus"
"203","Bombus soroeensis"
"204","Bombus sporadicus"
"205","Bombus subterraneus"
"206","Bombus sylvarum"
"207","Bombus ternarius"
"208","Bombus terrestris"
"209","Bombus terricola"
"210","Bombus vagans"
"211","Bombus veteranus"
"212","Bombus wurflenii"
"213","Bombus zonatus"
"214","Ceratina calcarata"
"215","Ceratina dupla"
"216","Ceratina mikmaqi"
"217","Eucera alternans"
"218","Eucera caspica"
"219","Eucera clypeata"
"220","Eucera elongatula"
"221","Eucera eucnemidea"
"222","Eucera furfurea"
"223","Eucera interrupta"
"224","Eucera longicornis"
"225","Eucera nigrescens"
"226","Eucera nigrifacies"
"227","Eucera nigrilabris"
"228","Eucera notata"
"229","Eucera proxima"
"230","Eucera taurica"
"231","Melissodes desponsus"
"232","Melissodes illatus"
"233","Melissodes subillatus"
"234","Xylocopa virginica"
"235","Colletes acutus"
"236","Colletes albomaculatus"
"237","Colletes americanus"
"238","Colletes compactus"
"239","Colletes daviesanus"
"240","Colletes hederae"
"241","Colletes inaequalis"
"242","Colletes kincaidii"
"243","Colletes similis"
"244","Colletes simulans"
"245","Colletes thoracicus"
"246","Colletes validus"
"247","Agapostemon sericeus"
"248","Agapostemon virescens"
"249","Augochlora pura"
"250","Augochlorella aurata"
"251","Dieunomia heteropoda"
"252","Dufourea monardae"
"253","Halictus confusus"
"254","Halictus confusus"
"255","Halictus crenicornis"
"256","Halictus ligatus"
"257","Halictus maculatus"
"258","Halictus pollinosus"
"259","Halictus quadricinctus"
"260","Halictus scabiosae"
"261","Halictus subauratus"
"262","Halictus tumulorum"
"263","Lasioglossum acuminatum"
"264","Lasioglossum albipes"
"265","Lasioglossum albocinctum"
"266","Lasioglossum anomalum"
"267","Lasioglossum bimaculatum"
"268","Lasioglossum brevicorne"
"269","Lasioglossum calceatum"
"270","Lasioglossum cinctipes"
"271","Lasioglossum convexiusculum"
"272","Lasioglossum coriaceum"
"273","Lasioglossum corvinum"
"274","Lasioglossum costulatum"
"275","Lasioglossum cressonii"
"276","Lasioglossum foxii"
