"","all_hulls$species","species"
"1","Andrena aeneiventris","Andrena aeneiventris"
"2","Andrena aerinifrons","Andrena aerinifrons"
"3","Andrena afrensis","Andrena afrensis"
"4","Andrena afzeliella","Andrena afzeliella"
"5","Andrena agilissima","Andrena agilissima"
"6","Andrena albopunctata","Andrena albopunctata"
"7","Andrena alfkenella","Andrena alfkenella"
"8","Andrena aliciae","Andrena aliciae"
"9","Andrena alleghaniensis","Andrena alleghaniensis"
"10","Andrena allosa","Andrena allosa"
"11","Andrena amieti","Andrena amieti"
"12","Andrena ampla","Andrena ampla"
"13","Andrena andrenoides","Andrena andrenoides"
"14","Andrena angustior","Andrena angustior"
"15","Andrena anthrisci","Andrena anthrisci"
"16","Andrena antigana","Andrena antigana"
"17","Andrena apicata","Andrena apicata"
"18","Andrena arabis","Andrena arabis"
"19","Andrena argentata","Andrena argentata"
"20","Andrena asperrima","Andrena asperrima"
"21","Andrena assimilis","Andrena assimilis"
"22","Andrena asteris","Andrena asteris"
"23","Andrena asteroides","Andrena asteroides"
"24","Andrena astragali","Andrena astragali"
"25","Andrena balsamorhizae","Andrena balsamorhizae"
"26","Andrena barbilabris","Andrena barbilabris"
"27","Andrena beameri","Andrena beameri"
"28","Andrena bicolor","Andrena bicolor"
"29","Andrena bimaculata","Andrena bimaculata"
"30","Andrena biskrensis","Andrena biskrensis"
"31","Andrena blanda","Andrena blanda"
"32","Andrena boyerella","Andrena boyerella"
"33","Andrena bradleyi","Andrena bradleyi"
"34","Andrena brevipalpis","Andrena brevipalpis"
"35","Andrena bullata","Andrena bullata"
"36","Andrena caesia","Andrena caesia"
"37","Andrena canadensis","Andrena canadensis"
"38","Andrena carlini","Andrena carlini"
"39","Andrena carolina","Andrena carolina"
"40","Andrena ceanothi","Andrena ceanothi"
"41","Andrena chaparralensis","Andrena chaparralensis"
"42","Andrena chrysopus","Andrena chrysopus"
"43","Andrena chrysosceles","Andrena chrysosceles"
"44","Andrena cineraria","Andrena cineraria"
"45","Andrena cinerea","Andrena cinerea"
"46","Andrena clarkella","Andrena clarkella"
"47","Andrena coitana","Andrena coitana"
"48","Andrena commoda","Andrena commoda"
"49","Andrena corax","Andrena corax"
"50","Andrena crataegi","Andrena crataegi"
"51","Andrena crawfordi","Andrena crawfordi"
"52","Andrena cressonii","Andrena cressonii"
