"","species","count"
"1","Actenosigynes mantiqueirensis",1
"2","Afranthidium carduele",7
"3","Afranthidium pusillum",1
"4","Agapostemon sericeus",3271
"5","Agapostemon virescens",23574
"6","Amegilla albigena",586
"7","Andrena aeneiventris",108
"8","Andrena aerinifrons",14
"9","Andrena afrensis",102
"10","Andrena afzeliella",555
"11","Andrena agilissima",906
"12","Andrena albopunctata",118
"13","Andrena alfkenella",533
"14","Andrena aliciae",251
"15","Andrena alleghaniensis",626
"16","Andrena allosa",90
"17","Andrena amieti",516
"18","Andrena ampla",439
"19","Andrena andrenoides",838
"20","Andrena angustior",1405
"21","Andrena anthrisci",48
"22","Andrena antigana",32
"23","Andrena apicata",764
"24","Andrena arabis",915
"25","Andrena argentata",1925
"26","Andrena asperrima",35
"27","Andrena assimilis",16
"28","Andrena asteris",748
"29","Andrena asteroides",51
"30","Andrena astragali",519
"31","Andrena balsamorhizae",213
"32","Andrena barbilabris",10343
"33","Andrena beameri",20
"34","Andrena bicolor",17616
"35","Andrena bimaculata",846
"36","Andrena biskrensis",23
"37","Andrena blanda",6
"38","Andrena boyerella",7
"39","Andrena bradleyi",737
"40","Andrena brevipalpis",687
"41","Andrena bullata",24
"42","Andrena caesia",1
"43","Andrena canadensis",581
"44","Andrena carlini",9710
"45","Andrena carolina",1003
"46","Andrena ceanothi",453
"47","Andrena chaparralensis",7
"48","Andrena chrysopus",44
"49","Andrena chrysosceles",5768
"50","Andrena cineraria",20613
"51","Andrena cinerea",112
"52","Andrena clarkella",12607
"53","Andrena coitana",1636
"54","Andrena commoda",1134
"55","Andrena corax",11
"56","Andrena crataegi",6493
"57","Andrena crawfordi",185
"58","Andrena cressonii",4396
"59","Andrena curvungula",948
"60","Andrena decipiens",107
"61","Andrena denticulata",6460
"62","Andrena discors",4
"63","Andrena distans",329
"64","Andrena djelfensis",9
"65","Andrena dorsata",7997
"66","Andrena doursana",1
"67","Andrena elata",13
"68","Andrena erigeniae",7834
"69","Andrena erythrogaster",1672
"70","Andrena fabrella",72
"71","Andrena ferrugineicrus",47
"72","Andrena flavilabris",2
"73","Andrena flavipes",27309
"74","Andrena florea",3341
"75","Andrena floricola",165
"76","Andrena forbesii",2327
"77","Andrena freygessneri",51
"78","Andrena frigida",1542
"79","Andrena fucata",5725
"80","Andrena fulica",13
"81","Andrena fulva",26483
"82","Andrena fulvago",2947
"83","Andrena fulvicornis",66
"84","Andrena fulvipennis",211
"85","Andrena funerea",32
"86","Andrena fuscipes",4629
"87","Andrena fuscosa",120
"88","Andrena gardineri",588
"89","Andrena gelriae",315
"90","Andrena geranii",565
"91","Andrena granulosa",29
"92","Andrena gravida",4447
"93","Andrena haemorrhoa",44023
"94","Andrena hattorfiana",12589
"95","Andrena haynesi",231
"96","Andrena hedikae",2
"97","Andrena helianthi",1112
"98","Andrena helianthiformis",73
"99","Andrena helvola",7119
"100","Andrena hippotes",1994
"101","Andrena hirticincta",2310
"102","Andrena humilis",5043
"103","Andrena imitatrix",3838
"104","Andrena integra",249
"105","Andrena isocomae",117
"106","Andrena juliana",1
"107","Andrena labialis",1402
"108","Andrena labiata",3134
"109","Andrena lagopus",633
"110","Andrena lapponica",5756
"111","Andrena lathyri",2505
"112","Andrena leptopyga",4
"113","Andrena leucolippa",160
"114","Andrena longibarbis",37
"115","Andrena mandibularis",648
"116","Andrena melliventris",115
"117","Andrena minutula",13154
"118","Andrena minutuloides",3697
"119","Andrena miranda",615
"120","Andrena miserabilis",6980
"121","Andrena mitis",656
"122","Andrena mocsaryi",4
"123","Andrena montana",85
"124","Andrena mucida",28
"125","Andrena nana",310
"126","Andrena nasonii",6265
"127","Andrena nasuta",52
"128","Andrena nigriceps",1288
"129","Andrena nigroaenea",11711
"130","Andrena nitida",10312
"131","Andrena nitidiuscula",508
"132","Andrena nitidula",42
"133","Andrena nivalis",1493
"134","Andrena niveata",128
"135","Andrena nubecula",1643
"136","Andrena nuda",984
"137","Andrena numida",16
"138","Andrena nycthemera",755
"139","Andrena orana",1
"140","Andrena ovatula",5559
"141","Andrena oviventris",35
"142","Andrena pallitarsis",59
"143","Andrena pandellei",591
"144","Andrena pandosa",8
"145","Andrena panurgina",2
"146","Andrena pauxilla",7
"147","Andrena perplexa",3674
"148","Andrena pilipes",953
"149","Andrena placata",593
"150","Andrena platyparia",422
"151","Andrena polita",213
"152","Andrena potentillae",127
"153","Andrena praecox",6872
"154","Andrena propinqua",767
"155","Andrena proxima",2013
"156","Andrena ranunculorum",53
"157","Andrena robertsonii",780
"158","Andrena rogenhoferi",206
"159","Andrena rosae",1932
"160","Andrena rudbeckiae",559
"161","Andrena ruficrus",3244
"162","Andrena rufizona",320
"163","Andrena rufosignata",766
"164","Andrena rugosa",1962
"165","Andrena russula",1247
"166","Andrena sardoa",24
"167","Andrena saxonica",101
"168","Andrena scotica",7856
"169","Andrena semilaevis",3436
"170","Andrena senecionis",79
"171","Andrena senticulosa",34
"172","Andrena sigmundi",511
"173","Andrena simillima",100
"174","Andrena simplex",517
"175","Andrena spiraeana",678
"176","Andrena spolata",31
"177","Andrena spreta",89
"178","Andrena subopaca",10572
"179","Andrena suerinensis",87
"180","Andrena symphyti",51
"181","Andrena synadelpha",339
"182","Andrena tarsata",1716
"183","Andrena tenuistriata",97
"184","Andrena thoracica",1283
"185","Andrena tonkaworum",55
"186","Andrena trimmerana",4424
"187","Andrena tscheki",68
"188","Andrena tuberculifera",22
"189","Andrena vaga",26832
"190","Andrena variabilis",116
"191","Andrena varians",607
"192","Andrena venerabilis",1
"193","Andrena ventralis",3881
"194","Andrena ventricosa",29
"195","Andrena verticalis",125
"196","Andrena vetula",45
"197","Andrena vicina",4780
"198","Andrena virginiana",380
"199","Andrena viridescens",1023
"200","Andrena w-scripta",1832
"201","Andrena wellesleyana",187
"202","Andrena wilkella",12103
"203","Andrena ziziae",1511
"204","Anthidiellum breviusculum",10
"205","Anthidiellum strigatum",3320
"206","Anthidium anguliventre",14
"207","Anthidium auritum",2
"208","Anthidium cingulatum",263
"209","Anthidium dalmaticum",4
"210","Anthidium diadema",40
"211","Anthidium echinatum",16
"212","Anthidium florentinum",2432
"213","Anthidium loti",165
"214","Anthidium manicatum",24930
"215","Anthidium montanum",225
"216","Anthidium oblongatum",6030
"217","Anthidium punctatum",5478
"218","Anthidium septemspinosum",554
"219","Anthidium spiniventre",10
"220","Anthidium taeniatum",55
"221","Anthidium tesselatum",10
"222","Anthidium undulatum",5
"223","Anthophora aestivalis",1567
"224","Anthophora atroalba",63
"225","Anthophora bimaculata",1780
"226","Anthophora diversipes",89
"227","Anthophora furcata",5467
"228","Anthophora plumipes",27373
"229","Anthophora quadrimaculata",3870
"230","Arhysosage cactorum",210
"231","Augochlora pura",18202
"232","Augochlorella aurata",37260
"233","Bombus affinis",10076
"234","Bombus alpinus",1496
"235","Bombus argillaceus",1179
"236","Bombus armeniacus",45
"237","Bombus auricomus",9416
"238","Bombus balteatus",4118
"239","Bombus bimaculatus",42308
"240","Bombus borealis",7043
"241","Bombus brodmannicus",9
"242","Bombus confusus",506
"243","Bombus cullumanus",126
"244","Bombus distinguendus",4387
"245","Bombus fervidus",22730
"246","Bombus fragrans",52
"247","Bombus frigidus",7393
"248","Bombus griseocollis",61793
"249","Bombus haematurus",284
"250","Bombus handlirschianus",1
"251","Bombus hortorum",59875
"252","Bombus humilis",18231
"253","Bombus hypnorum",169601
"254","Bombus impatiens",143207
"255","Bombus incertus",8
"256","Bombus lapidarius",166823
"257","Bombus lapponicus",4556
"258","Bombus lucorum",87064
"259","Bombus melanurus",48
"260","Bombus mendax",1265
"261","Bombus mesomelas",1943
"262","Bombus monticola",6780
"263","Bombus mucidus",992
"264","Bombus muscorum",8574
"265","Bombus niveatus",82
"266","Bombus pascuorum",307511
"267","Bombus pensylvanicus",48277
"268","Bombus perplexus",13468
"269","Bombus pomorum",647
"270","Bombus pratorum",113144
"271","Bombus ruderarius",10604
"272","Bombus ruderatus",3754
"273","Bombus rufocinctus",18411
"274","Bombus sichelii",2960
"275","Bombus soroeensis",19049
