"","species","count"
"1","Afranthidium carduele",7
"2","Agapostemon sericeus",3271
"3","Agapostemon virescens",23574
"4","Amegilla albigena",586
"5","Andrena aeneiventris",108
"6","Andrena aerinifrons",14
"7","Andrena afrensis",102
"8","Andrena afzeliella",555
"9","Andrena agilissima",906
"10","Andrena albopunctata",118
"11","Andrena alfkenella",533
"12","Andrena alleghaniensis",626
"13","Andrena allosa",90
"14","Andrena amieti",516
"15","Andrena ampla",439
"16","Andrena andrenoides",838
"17","Andrena angustior",1405
"18","Andrena anthrisci",48
"19","Andrena antigana",32
"20","Andrena apicata",764
"21","Andrena argentata",1925
"22","Andrena asperrima",35
"23","Andrena assimilis",16
"24","Andrena asteris",748
"25","Andrena asteroides",51
"26","Andrena astragali",519
"27","Andrena balsamorhizae",213
"28","Andrena barbilabris",10343
"29","Andrena beameri",20
"30","Andrena bicolor",17616
"31","Andrena bimaculata",846
"32","Andrena biskrensis",23
"33","Andrena blanda",6
"34","Andrena boyerella",7
"35","Andrena bradleyi",737
"36","Andrena brevipalpis",687
"37","Andrena bullata",24
"38","Andrena carlini",9710
"39","Andrena carolina",1003
"40","Andrena ceanothi",453
"41","Andrena chaparralensis",7
"42","Andrena chrysopus",44
"43","Andrena chrysosceles",5768
"44","Andrena cineraria",20613
"45","Andrena cinerea",112
"46","Andrena clarkella",12607
"47","Andrena coitana",1636
"48","Andrena commoda",1134
"49","Andrena corax",11
"50","Andrena crataegi",6493
"51","Andrena crawfordi",185
"52","Andrena cressonii",4396
"53","Andrena curvungula",948
"54","Andrena decipiens",107
"55","Andrena denticulata",6460
"56","Andrena discors",4
"57","Andrena djelfensis",9
"58","Andrena dorsata",7997
"59","Andrena elata",13
"60","Andrena erythrogaster",1672
"61","Andrena fabrella",72
"62","Andrena ferrugineicrus",47
"63","Andrena flavipes",27309
"64","Andrena floricola",165
"65","Andrena forbesii",2327
"66","Andrena freygessneri",51
"67","Andrena frigida",1542
"68","Andrena fucata",5725
"69","Andrena fulica",13
"70","Andrena fulva",26483
"71","Andrena fulvicornis",66
"72","Andrena fulvipennis",211
"73","Andrena funerea",32
"74","Andrena fuscipes",4629
"75","Andrena fuscosa",120
"76","Andrena gardineri",588
"77","Andrena gelriae",315
"78","Andrena granulosa",29
"79","Andrena gravida",4447
"80","Andrena haemorrhoa",44023
"81","Andrena haynesi",231
"82","Andrena helianthiformis",73
"83","Andrena helvola",7119
"84","Andrena hippotes",1994
"85","Andrena hirticincta",2310
"86","Andrena imitatrix",3838
"87","Andrena integra",249
"88","Andrena isocomae",117
"89","Andrena labialis",1402
"90","Andrena labiata",3134
"91","Andrena lagopus",633
"92","Andrena lapponica",5756
"93","Andrena lathyri",2505
"94","Andrena leptopyga",4
"95","Andrena leucolippa",160
"96","Andrena longibarbis",37
"97","Andrena mandibularis",648
"98","Andrena melliventris",115
"99","Andrena minutula",13154
"100","Andrena minutuloides",3697
"101","Andrena miranda",615
"102","Andrena miserabilis",6980
"103","Andrena mitis",656
"104","Andrena mocsaryi",4
"105","Andrena montana",85
"106","Andrena mucida",28
