flag,sp_wood_og,sp_wood_clean,,sp_dorey
,Agapostemon sericeus,Agapostemon sericeus,,
,Agapostemon splendens,Agapostemon splendens,,
,Agapostemon texanus,Agapostemon texanus,,
,Agapostemon virescens,Agapostemon virescens,,
,Amegilla albigena,Amegilla albigena,,
,Amegilla magnilabris,Amegilla magnilabris,,
,Amegilla quadrifasciata,Amegilla quadrifasciata,,
,Amegilla talaris,Amegilla talaris,,
,Andrena abjecta,Andrena abjecta,,
,Andrena abrupta,Andrena abrupta,,
,Andrena acerae,Andrena acerae,,
,Andrena acutidentis,Andrena acutidentis,,
,Andrena aegyptiaca,Andrena aegyptiaca,,
,Andrena aeneiventris,Andrena aeneiventris,,
,Andrena aerinifrons,Andrena aerinifrons,,
,Andrena afrensis,Andrena afrensis,,
,Andrena afzeliella,Andrena afzeliella,,
,Andrena agilissima,Andrena agilissima,,
,Andrena agnata,Andrena agnata,,
,Andrena albohirta,Andrena albohirta,,
,Andrena albopunctata,Andrena albopunctata,,
,Andrena alfkenella,Andrena alfkenella,,
,Andrena algida,Andrena algida,,
,Andrena aliciae,Andrena aliciae,,
,Andrena alleghaniensis,Andrena alleghaniensis,,
,Andrena alluaudi,Andrena alluaudi,,
,Andrena ampla,Andrena ampla,,
,Andrena andrenoides,Andrena andrenoides,,
,Andrena angustior,Andrena angustior,,
,Andrena anthrisci,Andrena anthrisci,,
,Andrena antigana,Andrena antigana,,
,Andrena apicata,Andrena apicata,,
,Andrena arabis,Andrena arabis,,
,Andrena argentata,Andrena argentata,,
,Andrena aruana,Andrena aruana,,
,Andrena asperrima,Andrena asperrima,,
,Andrena assimilis,Andrena assimilis,,
,Andrena avara,Andrena avara,,
,Andrena baetica,Andrena baetica,,
,Andrena barbilabris,Andrena barbilabris,,
,Andrena bassana,Andrena bassana,,
,Andrena bayona,Andrena bayona,,
,Andrena bellidis,Andrena bellidis,,
,Andrena bicolor,Andrena bicolor,,
,Andrena bicolorata,Andrena bicolorata,,
,Andrena bimaculata,Andrena bimaculata,,
